"#","ИД установе","Школска управа","Округ","Општина","Насеље","Назив установе","Адреса","Поштански број","Адреса електронске поште","Телефон","Сајт","Матични број","ПИБ","Датум оснивања","Примарна делатност","Власништво","Број одељења","Број комбинованих одељења","Број специјалних одељења","Број ученика","Број девојчица","Број ученика - ИОП 1","Број ученика - ИОП 2","Број ученика - ИОП 3","Број наставника - без замена","Укупна норма наставникаа - без замена","Број запослених - без замена","Укупна норма запослених- без замена"
"317.","1668","Зајечар","Борски управни округ","Мајданпек","Мајданпек","Гимназија Миле Арсенијевић Бандера","Велике Ливаде 2","19250","gimmpek@gmail.com","30581492","http://www.gimnazija-majdanpek.edu.rs","7677316","100625671","1990-06-27","Гимназије","Државно","3","0","0","50","41","0","0","0","25","5.626900","28","10.626900"
"318.","1669","Зајечар","Борски управни округ","Мајданпек","Мајданпек","Техничка школа","Велике ливаде 2","19250","majdanpektehnickaskola@gmail.com","030-581408","http://www.tsmajdanpek.edu.rs","7648847","100625655","1990-06-27","Средње стручне школе","Државно","14","0","0","299","94","1","5","0","43","29.123200","57","42.623200"
"319.","1672","Зајечар","Борски управни округ","Неготин","Неготин","Неготинска гимназија","Хајдук Вељкова 3","19300","negotinskagimnazija@mts.rs","(019)541974","http://www.negotinskagimnazija.edu.rs","07129190","100773710","1990-05-15","Гимназије","Државно","14","0","0","290","148","0","0","3","41","26.154300","51","37.154300"
"320.","1673","Зајечар","Борски управни округ","Неготин","Неготин","Пољопривредна школа са домом ученика Рајко Боснић","Буковски пут бб","19300","bukovo@mts.rs","(019)3542055","http://www.bukovo.edu.rs","7129181","100773701","1891-05-17","Средње стручне школе","Државно","13","0","0","279","182","0","1","0","43","29.052800","89","74.132800"
"321.","1674","Зајечар","Борски управни округ","Неготин","Неготин","Техничка школа","Миомира Радосављевића Пикијева 9","19300","tehnickanegotin@gmail.com","(019)544185","http://www.tehnicka-negotin.com","07129173","100776925","1966-09-10","Средње стручне школе","Државно","9","0","0","206","35","2","2","0","38","21.335900","48","33.335900"
"322.","1675","Зајечар","Зајечарски управни округ","Зајечар - град","Зајечар","Гимназија","Кнегиње Љубице 5","19000","gimza@ptt.rs","(019)422564","http://gimza.edu.rs","7351356","101328437","1836-08-22","Гимназије","Државно","15","0","0","382","233","0","0","1","47","30.501300","58","42.001300"
"323.","1676","Зајечар","Зајечарски управни округ","Зајечар - град","Зајечар","Економско-трговинска школа","Кнегиње Љубице 3-5","19000","etsza@verat.net","(019)421932","http://www.etszajecar.edu.rs","7351321","100577201","1946-07-31","Средње стручне школе","Државно","18","0","0","501","351","0","22","0","65","44.425700","82","61.425700"
"324.","1677","Зајечар","Зајечарски управни округ","Зајечар - град","Зајечар","Медицинска школа","Кнегиње Љубице 3-5","19000","medskozajecar@ptt.rs","(019)443858","http://medicinskazajecar.edu.rs","7351330","100578583","1948-07-30","Средње стручне школе","Државно","17","0","0","513","390","0","0","0","91","46.050100","103","59.050100"
"325.","1678","Зајечар","Зајечарски управни округ","Зајечар - град","Зајечар","Техничка школа","Кнегиње Љубице 3-5","19000","tehskola@ptt.rs","(019)422876","http://www.tsz.edu.rs","7351348","101331561","1987-02-25","Средње стручне школе","Државно","24","0","0","654","124","1","0","0","78","57.109500","95","76.939500"
"326.","1679","Зајечар","Зајечарски управни округ","Бољевац","Бољевац","Средња школа Никола Тесла","Кнеза Милоша 13","19370","ssnteslaboljevac@gmail.com","(030)463391","http://www.ssnikolatesla.edu.rs","7127448","100704611","1963-05-15","Средње стручне школе","Државно","12","0","0","161","58","1","4","0","37","24.954800","46","35.454800"
"327.","1680","Зајечар","Зајечарски управни округ","Књажевац","Књажевац","Књажевачка гимназија","Карађорђева 16","19350","gimnazijaknjaz@gmail.com","(019)732620","http://www.knjazevacka-gimnazija.edu.rs","7127774","100630959","1871-01-20","Гимназије","Државно","11","0","0","236","138","1","0","0","31","20.819900","39","30.119900"
"328.","1681","Зајечар","Зајечарски управни округ","Књажевац","Књажевац","Техничка школа","Карађорђева 52","19350","tehknjaz1@gmail.com","(019)730350","http://tehnickaskolaknjazevac.wordpress.com","7127804","100635171","1931-06-06","Средње стручне школе","Државно","15","0","0","402","174","0","5","0","54","40.279700","69","56.779700"
"329.","1682","Зајечар","Зајечарски управни округ","Сокобања","Сокобања","Средња школа Бранислав Нушић","Митрополита Михаила 5","18230","bnusic@ptt.rs","(018)830525","https://bnusicsbanja.edu.rs","7128525","100691534","1962-05-25","Средње стручне школе","Државно","15","0","0","341","191","1","3","0","44","32.807900","55","46.757900"
"330.","1683","Лесковац","Јабланички управни округ","Лесковац - град","Лесковац","Гимназија","Косте Стамнековића 15","16000","gimnazijaleskovac@gmail.com","(016)212218","http://www.gimnazijaleskovac.edu.rs","7137745","100332782","1879-07-14","Гимназије","Државно","31","0","0","787","475","0","0","0","78","58.811000","90","72.377700"
"331.","1684","Лесковац","Јабланички управни округ","Лесковац - град","Лесковац","Економска школа Ђука Динић","Косте Стаменковића 15","16000","ssdjudinles1@gmail.com","(016)600449","http://www.ekonomskale.edu.rs","7207328","101889123","1948-09-15","Средње стручне школе","Државно","20","0","0","594","425","0","0","0","62","41.727100","72","54.727100"
"332.","1685","Лесковац","Јабланички управни округ","Лесковац - град","Лесковац","Трговинско-угоститељска школа","Дубочица бб","16000","direktortusle@gmail.com","(016)222961","http://www.tusleskovac.com","7207301","101910772","1987-12-11","Средње стручне школе","Државно","28","0","0","807","398","5","5","0","89","66.837600","106","85.837600"
